Scenario_Full_ID,M_Opt,Max_Value,Error_Rate,Error_Type,Pos_Errors,Neg_Errors,Seeded_Population_Rate,Config_ID,Avg_Time_Sec,Avg_Generations,Avg_Found_M,Avg_Distance_From_Opt
M10_Max250_Err5%_pos_Seed5%_CfgC,10,250,0.05,pos,2,0,0.05,C,0.2299,25,11.8,1.8
M10_Max250_Err5%_neg_Seed0%_CfgB,10,250,0.05,neg,0,2,0.0,B,0.0582,25.4,10,0
M10_Max250_Err5%_neg_Seed2%_CfgA,10,250,0.05,neg,0,2,0.02,A,0.0386,25.4,10.4,0.4
M10_Max250_Err5%_neg_Seed0%_CfgC,10,250,0.05,neg,0,2,0.0,C,0.1617,25.1,10,0
M10_Max250_Err5%_neg_Seed2%_CfgB,10,250,0.05,neg,0,2,0.02,B,0.0674,25.4,10.7,0.7
M10_Max250_Err5%_neg_Seed5%_CfgA,10,250,0.05,neg,0,2,0.05,A,0.0335,25.3,10,0
M10_Max250_Err5%_neg_Seed2%_CfgC,10,250,0.05,neg,0,2,0.02,C,0.1839,25.3,10.6,0.6
M10_Max250_Err5%_neg_Seed5%_CfgB,10,250,0.05,neg,0,2,0.05,B,0.0639,25.3,10.2,0.2
M10_Max250_Err5%_neg_Seed5%_CfgC,10,250,0.05,neg,0,2,0.05,C,0.1725,25.3,10,0
M10_Max250_Err5%_both_Seed0%_CfgA,10,250,0.05,both,2,2,0.0,A,0.0476,25.9,11.8,1.8
M10_Max250_Err5%_both_Seed0%_CfgB,10,250,0.05,both,2,2,0.0,B,0.103,25.7,12.3,2.3
M10_Max250_Err5%_both_Seed2%_CfgA,10,250,0.05,both,2,2,0.02,A,0.0513,25.6,12,2
M10_Max250_Err5%_both_Seed0%_CfgC,10,250,0.05,both,2,2,0.0,C,0.2353,25.3,12,2
M10_Max250_Err5%_both_Seed2%_CfgB,10,250,0.05,both,2,2,0.02,B,0.0917,25.2,11.8,1.8
M10_Max250_Err5%_both_Seed5%_CfgA,10,250,0.05,both,2,2,0.05,A,0.0612,25.9,12,2
M10_Max250_Err5%_both_Seed2%_CfgC,10,250,0.05,both,2,2,0.02,C,0.2491,25.1,11.7,1.7
M10_Max250_Err5%_both_Seed5%_CfgB,10,250,0.05,both,2,2,0.05,B,0.1165,25.5,12.2,2.2
M10_Max500_Clean_Seed0%_CfgA,10,500,0.0,none,0,0,0.0,A,0.0448,25.1,10,0
M10_Max500_Clean_Seed0%_CfgB,10,500,0.0,none,0,0,0.0,B,0.0781,25,10,0
M10_Max250_Err5%_both_Seed5%_CfgC,10,250,0.05,both,2,2,0.05,C,0.288,25.3,12.3,2.3
M10_Max500_Clean_Seed2%_CfgA,10,500,0.0,none,0,0,0.02,A,0.0445,25,10,0
M10_Max500_Clean_Seed0%_CfgC,10,500,0.0,none,0,0,0.0,C,0.1997,25.1,10,0
M10_Max500_Clean_Seed2%_CfgB,10,500,0.0,none,0,0,0.02,B,0.0735,25,10,0
M10_Max500_Clean_Seed5%_CfgA,10,500,0.0,none,0,0,0.05,A,0.0389,25,10,0
M10_Max500_Clean_Seed2%_CfgC,10,500,0.0,none,0,0,0.02,C,0.1818,25,10,0
M10_Max500_Clean_Seed5%_CfgB,10,500,0.0,none,0,0,0.05,B,0.0697,25,10,0
M10_Max500_Clean_Seed5%_CfgC,10,500,0.0,none,0,0,0.05,C,0.1921,25,10,0
M10_Max500_Err2%_pos_Seed0%_CfgA,10,500,0.02,pos,1,0,0.0,A,0.047,25.7,11,1
M10_Max500_Err2%_pos_Seed0%_CfgB,10,500,0.02,pos,1,0,0.0,B,0.0858,25.2,11,1
M10_Max500_Err2%_pos_Seed2%_CfgA,10,500,0.02,pos,1,0,0.02,A,0.0441,25,11,1
M10_Max500_Err2%_pos_Seed0%_CfgC,10,500,0.02,pos,1,0,0.0,C,0.2149,25,11,1
M10_Max500_Err2%_pos_Seed2%_CfgB,10,500,0.02,pos,1,0,0.02,B,0.0777,25,11,1
M10_Max500_Err2%_pos_Seed5%_CfgA,10,500,0.02,pos,1,0,0.05,A,0.0452,25,11,1
M10_Max500_Err2%_pos_Seed2%_CfgC,10,500,0.02,pos,1,0,0.02,C,0.2214,25,11,1
M10_Max500_Err2%_pos_Seed5%_CfgB,10,500,0.02,pos,1,0,0.05,B,0.0813,25.1,11,1
M10_Max500_Err2%_neg_Seed0%_CfgA,10,500,0.02,neg,0,1,0.0,A,0.046,25.6,10.4,0.4
M10_Max500_Err2%_pos_Seed5%_CfgC,10,500,0.02,pos,1,0,0.05,C,0.2361,25,11,1
M10_Max500_Err2%_neg_Seed0%_CfgB,10,500,0.02,neg,0,1,0.0,B,0.0699,25.1,10,0
M10_Max500_Err2%_neg_Seed2%_CfgA,10,500,0.02,neg,0,1,0.02,A,0.0399,25,10,0
M10_Max500_Err2%_neg_Seed0%_CfgC,10,500,0.02,neg,0,1,0.0,C,0.1938,25.1,10.4,0.4
M10_Max500_Err2%_neg_Seed2%_CfgB,10,500,0.02,neg,0,1,0.02,B,0.0672,25,10,0
M10_Max500_Err2%_neg_Seed2%_CfgC,10,500,0.02,neg,0,1,0.02,C,0.1689,25,10,0
M10_Max500_Err2%_neg_Seed5%_CfgA,10,500,0.02,neg,0,1,0.05,A,0.036,25.1,10,0
M10_Max500_Err2%_neg_Seed5%_CfgB,10,500,0.02,neg,0,1,0.05,B,0.0642,25.1,10.3,0.3
M10_Max500_Err2%_neg_Seed5%_CfgC,10,500,0.02,neg,0,1,0.05,C,0.1933,25,10,0
M10_Max500_Err2%_both_Seed0%_CfgA,10,500,0.02,both,1,1,0.0,A,0.051,25.4,11,1
M10_Max500_Err2%_both_Seed0%_CfgB,10,500,0.02,both,1,1,0.0,B,0.0813,25.3,11,1
M10_Max500_Err2%_both_Seed2%_CfgA,10,500,0.02,both,1,1,0.02,A,0.04,25.3,11,1
M10_Max500_Err2%_both_Seed0%_CfgC,10,500,0.02,both,1,1,0.0,C,0.2064,25.1,11,1
M10_Max500_Err2%_both_Seed2%_CfgB,10,500,0.02,both,1,1,0.02,B,0.0771,25.1,11,1
M10_Max500_Err2%_both_Seed5%_CfgA,10,500,0.02,both,1,1,0.05,A,0.0421,25.1,10.9,0.9
M10_Max500_Err2%_both_Seed2%_CfgC,10,500,0.02,both,1,1,0.02,C,0.1937,25,11,1
M10_Max500_Err2%_both_Seed5%_CfgB,10,500,0.02,both,1,1,0.05,B,0.0771,25,11,1
M10_Max500_Err5%_pos_Seed0%_CfgA,10,500,0.05,pos,2,0,0.0,A,0.0506,25.4,12,2
M10_Max500_Err2%_both_Seed5%_CfgC,10,500,0.02,both,1,1,0.05,C,0.2031,25.1,11,1
M10_Max500_Err5%_pos_Seed0%_CfgB,10,500,0.05,pos,2,0,0.0,B,0.0894,25.8,11.7,1.7
M10_Max500_Err5%_pos_Seed2%_CfgA,10,500,0.05,pos,2,0,0.02,A,0.0516,25,11.9,1.9
M10_Max500_Err5%_pos_Seed0%_CfgC,10,500,0.05,pos,2,0,0.0,C,0.2468,25.1,11.8,1.8
M10_Max500_Err5%_pos_Seed2%_CfgB,10,500,0.05,pos,2,0,0.02,B,0.0905,25,11.8,1.8
M10_Max500_Err5%_pos_Seed5%_CfgA,10,500,0.05,pos,2,0,0.05,A,0.061,25.1,12,2
M10_Max500_Err5%_pos_Seed2%_CfgC,10,500,0.05,pos,2,0,0.02,C,0.2449,25,11.9,1.9
M10_Max500_Err5%_pos_Seed5%_CfgB,10,500,0.05,pos,2,0,0.05,B,0.0897,25,12,2
M10_Max500_Err5%_neg_Seed0%_CfgA,10,500,0.05,neg,0,2,0.0,A,0.0423,25.6,10.7,0.7
M10_Max500_Err5%_pos_Seed5%_CfgC,10,500,0.05,pos,2,0,0.05,C,0.2417,25,12,2
M10_Max500_Err5%_neg_Seed0%_CfgB,10,500,0.05,neg,0,2,0.0,B,0.0676,25.1,10,0
M10_Max500_Err5%_neg_Seed0%_CfgC,10,500,0.05,neg,0,2,0.0,C,0.1632,25,10,0
M10_Max500_Err5%_neg_Seed2%_CfgA,10,500,0.05,neg,0,2,0.02,A,0.0391,25.5,10.5,0.5
M10_Max500_Err5%_neg_Seed2%_CfgB,10,500,0.05,neg,0,2,0.02,B,0.0653,25.2,10.4,0.4
M10_Max500_Err5%_neg_Seed5%_CfgA,10,500,0.05,neg,0,2,0.05,A,0.0365,25.2,10,0
M10_Max500_Err5%_neg_Seed2%_CfgC,10,500,0.05,neg,0,2,0.02,C,0.1896,25.1,10.3,0.3
M10_Max500_Err5%_neg_Seed5%_CfgB,10,500,0.05,neg,0,2,0.05,B,0.0633,25.1,10,0
M10_Max500_Err5%_both_Seed0%_CfgA,10,500,0.05,both,2,2,0.0,A,0.0567,25.6,12,2
M10_Max500_Err5%_neg_Seed5%_CfgC,10,500,0.05,neg,0,2,0.05,C,0.2102,25.5,10.8,0.8
M10_Max500_Err5%_both_Seed0%_CfgB,10,500,0.05,both,2,2,0.0,B,0.0986,25.4,12,2
M10_Max500_Err5%_both_Seed2%_CfgA,10,500,0.05,both,2,2,0.02,A,0.0532,25.5,12,2
M10_Max500_Err5%_both_Seed0%_CfgC,10,500,0.05,both,2,2,0.0,C,0.2836,25.5,12.5,2.5
M10_Max500_Err5%_both_Seed2%_CfgB,10,500,0.05,both,2,2,0.02,B,0.1007,25,12.4,2.4
M10_Max500_Err5%_both_Seed2%_CfgC,10,500,0.05,both,2,2,0.02,C,0.2678,25.1,12.1,2.1
M10_Max500_Err5%_both_Seed5%_CfgA,10,500,0.05,both,2,2,0.05,A,0.0513,25.4,11.7,1.7
M10_Max500_Err5%_both_Seed5%_CfgB,10,500,0.05,both,2,2,0.05,B,0.1098,25.1,12,2
M10_Max750_Clean_Seed0%_CfgA,10,750,0.0,none,0,0,0.0,A,0.0474,25.3,10,0
M10_Max500_Err5%_both_Seed5%_CfgC,10,500,0.05,both,2,2,0.05,C,0.2625,25,12,2
M10_Max750_Clean_Seed0%_CfgB,10,750,0.0,none,0,0,0.0,B,0.0797,25.1,10,0
M10_Max750_Clean_Seed2%_CfgA,10,750,0.0,none,0,0,0.02,A,0.0406,25,10,0
M10_Max750_Clean_Seed0%_CfgC,10,750,0.0,none,0,0,0.0,C,0.2023,25,10,0
M10_Max750_Clean_Seed2%_CfgB,10,750,0.0,none,0,0,0.02,B,0.0676,25,10,0
M10_Max750_Clean_Seed2%_CfgC,10,750,0.0,none,0,0,0.02,C,0.1998,25,10,0
M10_Max750_Clean_Seed5%_CfgA,10,750,0.0,none,0,0,0.05,A,0.0416,25,10,0
M10_Max750_Clean_Seed5%_CfgB,10,750,0.0,none,0,0,0.05,B,0.0739,25,10,0
M10_Max750_Err2%_pos_Seed0%_CfgA,10,750,0.02,pos,1,0,0.0,A,0.049,25.2,11,1
M10_Max750_Clean_Seed5%_CfgC,10,750,0.0,none,0,0,0.05,C,0.1873,25,10,0
M10_Max750_Err2%_pos_Seed0%_CfgB,10,750,0.02,pos,1,0,0.0,B,0.0915,25.2,11,1
M10_Max750_Err2%_pos_Seed2%_CfgA,10,750,0.02,pos,1,0,0.02,A,0.0516,25,11,1
M10_Max750_Err2%_pos_Seed0%_CfgC,10,750,0.02,pos,1,0,0.0,C,0.2558,25,11,1
M10_Max750_Err2%_pos_Seed2%_CfgB,10,750,0.02,pos,1,0,0.02,B,0.1269,25,11,1
M10_Max750_Err2%_pos_Seed2%_CfgC,10,750,0.02,pos,1,0,0.02,C,0.2367,25,11,1
M10_Max750_Err2%_pos_Seed5%_CfgA,10,750,0.02,pos,1,0,0.05,A,0.0502,25,11,1
M10_Max750_Err2%_pos_Seed5%_CfgB,10,750,0.02,pos,1,0,0.05,B,0.091,25,11,1
M10_Max750_Err2%_pos_Seed5%_CfgC,10,750,0.02,pos,1,0,0.05,C,0.2282,25,11,1
M10_Max750_Err2%_neg_Seed0%_CfgA,10,750,0.02,neg,0,1,0.0,A,0.0484,25.5,10,0
M10_Max750_Err2%_neg_Seed0%_CfgB,10,750,0.02,neg,0,1,0.0,B,0.0803,25.3,10.5,0.5
M10_Max750_Err2%_neg_Seed0%_CfgC,10,750,0.02,neg,0,1,0.0,C,0.1949,25.1,10,0
M10_Max750_Err2%_neg_Seed2%_CfgA,10,750,0.02,neg,0,1,0.02,A,0.0483,25.1,10,0
M10_Max750_Err2%_neg_Seed2%_CfgB,10,750,0.02,neg,0,1,0.02,B,0.0679,25,10,0
M10_Max750_Err2%_neg_Seed5%_CfgA,10,750,0.02,neg,0,1,0.05,A,0.0395,25.2,10,0
M10_Max750_Err2%_neg_Seed2%_CfgC,10,750,0.02,neg,0,1,0.02,C,0.1994,25,10,0
M10_Max750_Err2%_neg_Seed5%_CfgB,10,750,0.02,neg,0,1,0.05,B,0.0646,25,10,0
M10_Max750_Err2%_neg_Seed5%_CfgC,10,750,0.02,neg,0,1,0.05,C,0.1726,25,10,0
M10_Max750_Err2%_both_Seed0%_CfgA,10,750,0.02,both,1,1,0.0,A,0.0444,25.2,11.4,1.4
M10_Max750_Err2%_both_Seed0%_CfgB,10,750,0.02,both,1,1,0.0,B,0.0815,25.2,11,1
M10_Max750_Err2%_both_Seed2%_CfgA,10,750,0.02,both,1,1,0.02,A,0.0415,25,11,1
M10_Max750_Err2%_both_Seed0%_CfgC,10,750,0.02,both,1,1,0.0,C,0.1999,25,11,1
M10_Max750_Err2%_both_Seed2%_CfgB,10,750,0.02,both,1,1,0.02,B,0.0746,25.2,11,1
M10_Max750_Err2%_both_Seed5%_CfgA,10,750,0.02,both,1,1,0.05,A,0.0421,25,11,1
M10_Max750_Err2%_both_Seed5%_CfgB,10,750,0.02,both,1,1,0.05,B,0.0764,25,11,1
M10_Max750_Err2%_both_Seed2%_CfgC,10,750,0.02,both,1,1,0.02,C,0.2312,25.2,11.4,1.4
M10_Max750_Err2%_both_Seed5%_CfgC,10,750,0.02,both,1,1,0.05,C,0.202,25,11,1
M10_Max750_Err5%_pos_Seed0%_CfgA,10,750,0.05,pos,2,0,0.0,A,0.0501,25.2,12,2
M10_Max750_Err5%_pos_Seed0%_CfgB,10,750,0.05,pos,2,0,0.0,B,0.0921,25.2,12,2
M10_Max750_Err5%_pos_Seed2%_CfgA,10,750,0.05,pos,2,0,0.02,A,0.0508,25.1,11.9,1.9
M10_Max750_Err5%_pos_Seed0%_CfgC,10,750,0.05,pos,2,0,0.0,C,0.2644,25,12,2
M10_Max750_Err5%_pos_Seed2%_CfgB,10,750,0.05,pos,2,0,0.02,B,0.0918,25,11.9,1.9
M10_Max750_Err5%_pos_Seed5%_CfgA,10,750,0.05,pos,2,0,0.05,A,0.0578,25,12,2
M10_Max750_Err5%_pos_Seed2%_CfgC,10,750,0.05,pos,2,0,0.02,C,0.2616,25,12,2
M10_Max750_Err5%_pos_Seed5%_CfgB,10,750,0.05,pos,2,0,0.05,B,0.0992,25,12,2
M10_Max750_Err5%_neg_Seed0%_CfgA,10,750,0.05,neg,0,2,0.0,A,0.0459,25.7,10,0
M10_Max750_Err5%_pos_Seed5%_CfgC,10,750,0.05,pos,2,0,0.05,C,0.251,25,11.9,1.9
M10_Max750_Err5%_neg_Seed0%_CfgB,10,750,0.05,neg,0,2,0.0,B,0.0729,25.4,10.5,0.5
M10_Max750_Err5%_neg_Seed0%_CfgC,10,750,0.05,neg,0,2,0.0,C,0.1715,25.1,10,0
